,x,y,label
0,15.55,28.65,3.0
1,14.9,27.55,3.0
2,14.45,28.35,3.0
3,14.15,28.8,3.0
4,13.75,28.05,3.0
5,13.35,28.45,3.0
6,13.0,29.15,3.0
7,13.45,27.5,3.0
8,13.6,26.5,3.0
9,12.8,27.35,3.0
10,12.4,27.85,3.0
11,12.3,28.4,3.0
12,12.2,28.65,3.0
13,13.4,25.1,3.0
14,12.95,25.95,3.0
15,12.9,26.5,3.0
16,11.85,27.0,3.0
17,11.35,28.0,3.0
18,11.15,28.7,3.0
19,11.25,27.4,3.0
20,10.75,27.7,3.0
21,10.5,28.35,3.0
22,9.65,28.45,3.0
23,10.25,27.25,3.0
24,10.75,26.55,3.0
25,11.7,26.35,3.0
26,11.6,25.9,3.0
27,11.9,25.05,3.0
28,12.6,24.05,3.0
29,11.9,24.5,3.0
30,11.1,25.2,3.0
31,10.55,25.15,3.0
32,10.05,25.95,3.0
33,9.35,26.6,3.0
34,9.3,27.25,3.0
35,9.2,27.8,3.0
36,7.5,28.25,3.0
37,8.55,27.45,3.0
38,8.5,27.05,3.0
39,8.05,27.2,3.0
40,7.85,26.8,3.0
41,7.3,27.4,3.0
42,6.8,26.85,3.0
43,7.0,26.5,3.0
44,7.55,26.3,3.0
45,8.55,26.3,3.0
46,9.0,25.85,3.0
47,8.6,25.65,3.0
48,9.4,25.55,3.0
49,8.45,25.05,3.0
50,8.85,24.6,3.0
51,9.65,24.7,3.0
52,10.55,24.35,3.0
53,11.05,23.9,3.0
54,10.55,23.55,3.0
55,9.45,23.35,3.0
56,9.2,23.9,3.0
57,8.35,23.9,3.0
58,7.35,24.75,3.0
59,7.4,25.45,3.0
60,6.6,25.75,3.0
61,6.1,26.0,3.0
62,5.8,26.95,3.0
63,5.65,25.8,3.0
64,5.3,26.1,3.0
65,6.4,25.4,3.0
66,5.4,25.25,3.0
67,5.35,24.7,3.0
68,4.8,25.05,3.0
69,4.2,25.55,3.0
70,6.4,24.8,3.0
71,6.55,24.3,3.0
72,7.4,24.25,3.0
73,5.45,24.2,3.0
74,4.3,24.0,3.0
75,4.0,24.25,3.0
76,3.35,23.3,3.0
77,4.85,23.05,3.0
78,4.3,22.75,3.0
79,5.85,23.4,3.0
80,5.9,23.55,3.0
81,7.55,23.7,3.0
82,6.85,23.25,3.0
83,7.65,23.1,3.0
84,6.95,22.55,3.0
85,6.1,22.6,3.0
86,5.5,22.6,3.0
87,4.7,22.1,3.0
88,3.8,21.85,3.0
89,4.65,21.2,3.0
90,4.15,20.35,3.0
91,5.3,20.4,3.0
92,5.6,20.75,3.0
93,5.8,21.95,3.0
94,6.4,21.95,3.0
95,6.55,21.15,3.0
96,7.45,21.95,3.0
97,7.4,21.55,3.0
98,7.75,21.2,3.0
99,7.65,20.65,3.0
100,6.95,19.8,3.0
101,6.6,20.1,3.0
102,6.05,20.2,3.0
103,5.4,19.65,3.0
104,5.35,19.05,3.0
105,5.8,18.25,3.0
106,6.3,19.1,3.0
107,7.0,18.9,3.0
108,7.15,17.9,3.0
109,7.35,18.2,3.0
110,8.2,20.05,3.0
111,8.3,19.45,3.0
112,8.3,18.5,3.0
113,8.75,18.8,3.0
114,9.05,18.2,3.0
115,9.35,17.7,3.0
116,8.9,17.65,3.0
117,8.45,17.2,3.0
118,10.05,17.2,3.0
119,10.4,16.75,3.0
120,8.6,20.9,3.0
121,8.65,21.3,3.0
122,8.65,21.9,3.0
123,8.65,22.5,3.0
124,8.95,22.8,3.0
125,9.95,22.65,3.0
126,8.95,22.2,3.0
127,9.65,21.9,3.0
128,10.55,22.3,3.0
129,10.9,22.85,3.0
130,11.35,23.45,3.0
131,12.05,23.4,3.0
132,12.3,22.75,3.0
133,11.7,22.15,3.0
134,11.15,22.05,3.0
135,10.85,21.5,3.0
136,10.85,21.05,3.0
137,9.6,21.3,3.0
138,9.85,20.7,3.0
139,9.35,20.6,3.0
140,9.25,19.65,3.0
141,9.95,19.8,3.0
142,10.7,20.35,3.0
143,11.3,20.7,3.0
144,12.35,21.6,3.0
145,13.1,21.3,3.0
146,12.85,20.75,3.0
147,12.0,20.0,3.0
148,11.0,19.85,3.0
149,10.35,19.0,3.0
150,9.9,18.65,3.0
151,10.6,18.15,3.0
152,11.4,18.3,3.0
153,11.4,19.25,3.0
154,12.35,18.8,3.0
155,12.8,19.75,3.0
156,12.15,18.1,3.0
157,11.05,17.5,3.0
158,11.95,17.25,3.0
159,12.25,17.5,3.0
160,13.05,17.4,3.0
161,13.75,18.15,3.0
162,13.5,18.65,3.0
163,13.65,19.25,3.0
164,14.0,19.9,3.0
165,15.2,18.2,3.0
166,15.5,17.15,3.0
167,13.9,17.1,3.0
168,13.75,16.6,3.0
169,12.15,16.4,3.0
170,7.8,13.7,5.0
171,8.85,13.35,5.0
172,9.0,12.7,5.0
173,9.7,12.1,5.0
174,8.05,12.9,5.0
175,7.7,13.25,5.0
176,6.8,13.2,5.0
177,6.6,13.45,5.0
178,6.2,12.55,5.0
179,5.4,12.85,5.0
180,5.7,12.25,5.0
181,5.2,11.9,5.0
182,5.15,11.35,5.0
183,5.85,11.2,5.0
184,6.1,11.75,5.0
185,7.0,12.35,5.0
186,7.05,12.45,5.0
187,7.9,12.5,5.0
188,8.55,12.1,5.0
189,7.85,11.85,5.0
190,7.1,11.95,5.0
191,6.9,11.5,5.0
192,6.85,10.9,5.0
193,6.4,10.7,5.0
194,5.9,10.3,5.0
195,6.4,10.25,5.0
196,7.05,10.05,5.0
197,7.35,10.5,5.0
198,7.65,11.1,5.0
199,8.1,11.2,5.0
200,8.8,11.4,5.0
201,8.3,10.55,5.0
202,9.0,10.9,5.0
203,9.35,10.5,5.0
204,10.15,11.0,2.0
205,10.4,10.55,2.0
206,10.9,10.0,2.0
207,11.55,10.2,2.0
208,11.75,10.85,2.0
209,10.1,8.65,2.0
210,11.05,9.1,2.0
211,11.85,9.8,2.0
212,12.85,10.65,2.0
213,12.9,11.7,2.0
214,13.6,11.1,2.0
215,14.05,11.75,2.0
216,14.5,11.8,2.0
217,14.3,12.45,2.0
218,17.0,12.9,2.0
219,15.8,12.6,2.0
220,15.85,12.0,2.0
221,16.7,12.2,2.0
222,16.25,11.7,2.0
223,15.55,11.15,2.0
224,14.8,11.35,2.0
225,14.45,10.75,2.0
226,13.75,10.45,2.0
227,12.8,10.1,2.0
228,13.15,9.8,2.0
229,12.45,9.3,2.0
230,11.8,8.95,2.0
231,11.1,8.45,2.0
232,10.35,7.7,2.0
233,10.1,6.75,2.0
234,11.3,7.95,2.0
235,12.35,8.45,2.0
236,13.1,8.95,2.0
237,13.2,9.35,2.0
238,14.1,10.05,2.0
239,11.5,7.5,2.0
240,11.35,6.9,2.0
241,11.95,6.75,2.0
242,12.4,7.1,2.0
243,12.25,7.6,2.0
244,12.95,7.6,2.0
245,13.45,7.95,2.0
246,13.35,8.25,2.0
247,13.75,9.0,2.0
248,14.3,9.3,2.0
249,14.85,9.55,2.0
250,15.1,10.25,2.0
251,15.45,10.55,2.0
252,16.35,10.85,2.0
253,16.75,11.5,2.0
254,16.25,10.2,2.0
255,15.4,10.1,2.0
256,15.45,9.7,2.0
257,15.15,9.3,2.0
258,15.25,8.65,2.0
259,15.55,8.2,2.0
260,14.25,8.7,2.0
261,14.25,8.25,2.0
262,15.05,7.8,2.0
263,14.3,7.5,2.0
264,13.55,7.45,2.0
265,14.3,6.95,2.0
266,13.95,6.7,2.0
267,13.05,6.95,2.0
268,13.05,6.2,2.0
269,11.55,6.3,2.0
270,10.8,5.85,2.0
271,10.6,5.05,2.0
272,11.35,5.55,2.0
273,12.15,5.4,2.0
274,12.4,5.8,2.0
275,12.8,5.7,2.0
276,13.65,5.9,2.0
277,13.9,5.3,2.0
278,13.1,5.1,2.0
279,12.55,4.9,2.0
280,11.5,4.75,2.0
281,11.35,4.05,2.0
282,12.4,4.35,2.0
283,11.75,3.45,2.0
284,12.65,3.7,2.0
285,13.4,4.35,2.0
286,13.9,4.95,2.0
287,12.75,3.0,2.0
288,13.55,3.15,2.0
289,13.7,3.65,2.0
290,14.1,4.1,2.0
291,14.65,5.05,2.0
292,14.35,5.75,2.0
293,14.5,6.55,2.0
294,15.15,7.1,2.0
295,13.6,2.55,2.0
296,14.45,2.4,2.0
297,14.6,3.05,2.0
298,15.0,3.4,2.0
299,15.25,3.5,2.0
300,14.7,4.1,2.0
301,14.7,4.5,2.0
302,15.25,2.7,2.0
303,15.65,2.05,2.0
304,15.95,2.8,2.0
305,16.1,3.55,2.0
306,15.9,4.0,2.0
307,15.6,4.75,2.0
308,15.55,5.05,2.0
309,15.35,5.5,2.0
310,15.15,5.95,2.0
311,15.5,6.75,2.0
312,15.7,6.35,2.0
313,16.2,5.9,2.0
314,16.35,5.35,2.0
315,16.2,4.55,2.0
316,16.55,4.2,2.0
317,16.95,4.75,2.0
318,17.05,5.1,2.0
319,17.3,4.8,2.0
320,17.3,4.15,2.0
321,17.6,4.3,2.0
322,17.05,3.7,2.0
323,17.25,3.05,2.0
324,16.65,2.8,2.0
325,16.55,2.15,2.0
326,17.2,2.05,2.0
327,18.15,1.95,2.0
328,18.05,2.45,2.0
329,18.15,3.05,2.0
330,18.6,3.45,2.0
331,18.4,3.6,2.0
332,18.85,3.2,2.0
333,19.1,2.65,2.0
334,19.45,2.65,2.0
335,19.0,2.1,2.0
336,19.9,2.05,2.0
337,20.45,2.8,2.0
338,19.8,3.25,2.0
339,19.45,3.9,2.0
340,18.65,4.2,2.0
341,18.4,4.6,2.0
342,18.65,4.75,2.0
343,18.75,5.15,2.0
344,19.1,4.55,2.0
345,17.9,5.4,2.0
346,17.65,5.7,2.0
347,17.05,6.05,2.0
348,17.4,6.5,2.0
349,16.6,6.85,2.0
350,15.7,7.15,2.0
351,15.75,7.75,2.0
352,16.6,7.95,2.0
353,20.4,3.4,2.0
354,20.7,3.45,2.0
355,21.15,2.85,2.0
356,21.75,2.65,2.0
357,22.0,3.25,2.0
358,22.2,3.5,2.0
359,21.45,3.75,2.0
360,21.1,4.05,2.0
361,20.15,4.3,2.0
362,20.8,4.7,2.0
363,20.7,5.15,2.0
364,19.75,5.05,2.0
365,19.85,5.5,2.0
366,20.4,5.65,2.0
367,20.55,5.75,2.0
368,18.7,5.75,2.0
369,19.25,5.95,2.0
370,18.4,6.0,2.0
371,18.45,6.6,2.0
372,17.65,7.05,2.0
373,16.7,7.4,2.0
374,18.65,7.3,2.0
375,18.05,7.35,2.0
376,17.85,7.75,2.0
377,17.5,8.25,2.0
378,17.15,8.6,2.0
379,17.05,9.0,2.0
380,16.4,8.7,2.0
381,16.05,8.95,2.0
382,16.05,9.6,2.0
383,16.5,9.75,2.0
384,17.25,9.6,2.0
385,17.6,9.9,2.0
386,17.8,9.3,2.0
387,18.0,8.55,2.0
388,18.8,8.1,2.0
389,18.8,8.35,2.0
390,19.4,7.6,2.0
391,19.25,6.6,2.0
392,20.05,6.95,2.0
393,19.8,7.5,2.0
394,20.05,6.35,2.0
395,21.15,5.7,2.0
396,21.65,4.85,2.0
397,22.15,4.35,2.0
398,23.05,3.35,2.0
399,23.05,3.8,2.0
400,23.15,4.4,2.0
401,22.5,4.75,2.0
402,22.15,5.2,2.0
403,24.15,4.55,2.0
404,23.5,5.05,2.0
405,23.1,5.3,2.0
406,23.0,5.75,2.0
407,22.2,5.75,2.0
408,21.85,6.2,2.0
409,20.75,6.55,2.0
410,21.0,7.15,2.0
411,20.75,7.65,2.0
412,20.0,8.2,2.0
413,19.5,8.65,2.0
414,18.85,9.05,2.0
415,18.75,9.55,2.0
416,18.6,10.0,2.0
417,16.95,10.35,2.0
418,17.35,10.85,2.0
419,18.0,10.65,2.0
420,18.5,10.55,2.0
421,18.1,11.1,2.0
422,17.55,11.3,2.0
423,17.95,11.9,2.0
424,18.3,12.0,2.0
425,18.0,12.5,2.0
426,19.0,11.65,2.0
427,19.5,11.05,2.0
428,19.45,10.55,2.0
429,19.4,9.65,2.0
430,20.1,9.4,2.0
431,20.05,9.95,2.0
432,20.05,10.2,2.0
433,19.35,12.2,2.0
434,19.2,12.25,2.0
435,20.05,11.6,2.0
436,20.6,11.15,2.0
437,20.7,10.65,2.0
438,21.3,11.65,2.0
439,21.8,11.15,2.0
440,21.85,10.7,2.0
441,21.65,10.05,2.0
442,20.95,10.2,2.0
443,20.9,9.7,2.0
444,21.65,9.45,2.0
445,21.2,9.25,2.0
446,20.75,8.75,2.0
447,20.55,8.75,2.0
448,21.1,8.0,2.0
449,21.65,8.65,2.0
450,21.75,8.2,2.0
451,21.95,7.55,2.0
452,22.0,6.75,2.0
453,22.8,6.45,2.0
454,22.65,6.65,2.0
455,22.75,7.05,2.0
456,23.0,7.35,2.0
457,22.55,7.9,2.0
458,22.2,8.7,2.0
459,22.9,8.45,2.0
460,22.35,9.2,2.0
461,22.75,9.35,2.0
462,22.4,10.05,2.0
463,23.05,10.9,2.0
464,23.3,9.85,2.0
465,23.95,9.8,2.0
466,23.65,9.1,2.0
467,23.7,8.85,2.0
468,24.25,8.25,2.0
469,24.85,7.95,2.0
470,23.5,7.85,2.0
471,23.85,7.35,2.0
472,23.95,6.9,2.0
473,23.65,6.5,2.0
474,23.6,5.7,2.0
475,24.3,5.65,2.0
476,24.8,6.4,2.0
477,34.05,3.5,6.0
478,33.05,3.85,6.0
479,32.0,3.8,6.0
480,31.9,4.4,6.0
481,31.05,4.75,6.0
482,30.4,5.65,6.0
483,30.75,6.1,6.0
484,30.0,6.7,6.0
485,30.1,7.4,6.0
486,29.5,8.15,6.0
487,30.75,8.0,6.0
488,30.85,7.35,6.0
489,31.5,6.75,6.0
490,31.75,5.95,6.0
491,32.35,6.45,6.0
492,32.8,6.0,6.0
493,32.05,5.1,6.0
494,32.8,4.8,6.0
495,32.65,4.4,6.0
496,33.65,4.6,6.0
497,33.05,5.15,6.0
498,33.6,5.45,6.0
499,34.5,5.05,6.0
500,34.9,4.65,6.0
501,35.45,4.1,6.0
502,34.6,4.05,6.0
503,34.2,4.2,6.0
504,36.3,5.2,6.0
505,35.55,5.35,6.0
506,35.95,6.05,6.0
507,34.8,5.85,6.0
508,33.7,6.15,6.0
509,33.95,6.6,6.0
510,33.7,7.05,6.0
511,32.75,7.1,6.0
512,32.3,7.65,6.0
513,33.0,7.9,6.0
514,31.95,8.15,6.0
515,31.15,8.65,6.0
516,30.35,8.85,6.0
517,29.85,9.0,6.0
518,30.7,9.15,6.0
519,29.7,9.9,6.0
520,30.45,9.95,6.0
521,30.95,9.85,6.0
522,31.8,9.45,6.0
523,32.45,8.8,6.0
524,33.55,8.6,6.0
525,34.35,7.7,6.0
526,34.7,8.0,6.0
527,34.6,7.25,6.0
528,35.0,6.8,6.0
529,35.5,7.35,6.0
530,36.1,7.5,6.0
531,36.55,7.0,6.0
532,36.0,8.2,6.0
533,35.35,8.05,6.0
534,36.55,8.65,6.0
535,36.4,9.1,6.0
536,35.5,9.1,6.0
537,34.55,8.85,6.0
538,35.25,9.4,6.0
539,34.4,9.5,6.0
540,33.5,9.3,6.0
541,33.85,9.8,6.0
542,32.5,9.65,6.0
543,32.3,10.25,6.0
544,33.3,10.3,6.0
545,31.6,10.5,6.0
546,30.6,10.5,6.0
547,30.4,11.1,6.0
548,30.9,11.45,6.0
549,30.7,11.65,6.0
550,30.4,12.05,6.0
551,31.2,12.0,6.0
552,31.95,11.35,6.0
553,31.65,11.05,6.0
554,32.95,11.15,6.0
555,32.65,11.7,6.0
556,32.25,12.25,6.0
557,32.05,12.25,6.0
558,31.3,12.7,6.0
559,31.95,12.95,6.0
560,32.75,13.1,6.0
561,33.15,13.2,6.0
562,33.1,12.75,6.0
563,33.15,12.1,6.0
564,34.3,11.75,6.0
565,34.0,10.85,6.0
566,34.65,11.0,6.0
567,34.8,10.1,6.0
568,35.65,9.85,6.0
569,36.35,10.0,6.0
570,35.55,10.75,6.0
571,35.8,11.55,6.0
572,35.2,11.75,6.0
573,34.7,11.75,6.0
574,34.95,12.75,6.0
575,34.05,12.55,6.0
576,34.05,13.05,6.0
577,33.25,13.7,6.0
578,33.2,14.15,6.0
579,33.25,14.7,6.0
580,33.0,15.15,1.0
581,32.95,15.65,1.0
582,32.6,16.15,1.0
583,32.45,16.75,1.0
584,32.65,17.05,1.0
585,32.75,17.3,1.0
586,31.75,17.2,1.0
587,31.7,17.65,1.0
588,31.0,17.5,1.0
589,31.15,17.9,1.0
590,30.45,18.05,1.0
591,30.05,18.8,1.0
592,30.55,18.8,1.0
593,30.5,19.3,1.0
594,30.25,19.4,1.0
595,29.6,19.85,1.0
596,29.15,20.55,1.0
597,30.25,20.45,1.0
598,30.7,20.05,1.0
599,31.0,19.9,1.0
600,31.55,19.65,1.0
601,31.5,18.55,1.0
602,32.05,18.6,1.0
603,31.95,19.1,1.0
604,32.6,18.35,1.0
605,32.85,17.95,1.0
606,33.45,17.45,1.0
607,33.7,17.0,1.0
608,34.25,17.35,1.0
609,34.3,18.05,1.0
610,33.85,18.4,1.0
611,33.05,18.85,1.0
612,33.25,18.95,1.0
613,32.8,19.15,1.0
614,32.3,19.85,1.0
615,32.8,20.0,1.0
616,31.75,20.25,1.0
617,31.75,20.75,1.0
618,32.1,21.15,1.0
619,31.55,21.6,1.0
620,30.65,21.3,1.0
621,29.95,21.6,1.0
622,29.5,21.6,1.0
623,30.35,22.05,1.0
624,31.05,22.0,1.0
625,31.55,22.2,1.0
626,30.95,22.65,1.0
627,30.3,23.1,1.0
628,29.6,23.15,1.0
629,29.35,22.55,1.0
630,29.2,23.85,1.0
631,30.75,24.0,1.0
632,30.95,24.15,1.0
633,31.45,23.7,1.0
634,31.95,23.15,1.0
635,32.55,22.05,1.0
636,32.6,22.55,1.0
637,33.25,22.25,1.0
638,33.65,21.9,1.0
639,33.5,21.3,1.0
640,33.1,20.75,1.0
641,33.8,20.4,1.0
642,33.85,20.0,1.0
643,34.15,19.3,1.0
644,34.85,18.85,1.0
645,35.3,18.55,1.0
646,35.4,19.35,1.0
647,34.55,19.75,1.0
648,35.05,20.0,1.0
649,35.95,19.85,1.0
650,36.35,20.6,1.0
651,35.5,20.55,1.0
652,34.45,20.65,1.0
653,34.4,21.25,1.0
654,35.0,21.05,1.0
655,35.75,21.3,1.0
656,35.05,21.5,1.0
657,34.6,22.05,1.0
658,34.2,21.75,1.0
659,36.25,21.95,1.0
660,35.7,22.3,1.0
661,35.5,22.9,1.0
662,35.85,23.25,1.0
663,36.3,23.8,1.0
664,35.45,24.1,1.0
665,34.9,23.5,1.0
666,34.2,22.9,1.0
667,33.85,23.3,1.0
668,33.25,23.35,1.0
669,32.45,23.7,1.0
670,33.6,23.9,1.0
671,34.25,23.95,1.0
672,34.25,24.1,1.0
673,35.4,24.7,1.0
674,35.15,25.3,1.0
675,34.4,24.9,1.0
676,33.7,24.85,1.0
677,32.25,24.45,1.0
678,32.5,24.7,1.0
679,31.45,24.45,1.0
680,31.55,25.2,1.0
681,31.05,25.0,1.0
682,30.25,24.3,1.0
683,29.8,24.8,1.0
684,29.6,25.5,1.0
685,29.7,26.05,1.0
686,30.5,25.5,1.0
687,30.65,26.0,1.0
688,31.25,26.05,1.0
689,31.45,26.95,1.0
690,30.75,26.9,1.0
691,30.65,27.15,1.0
692,31.25,27.85,1.0
693,31.85,27.75,1.0
694,32.7,28.2,1.0
695,33.25,27.55,1.0
696,32.4,27.1,1.0
697,32.15,26.65,1.0
698,32.35,25.95,1.0
699,32.95,25.5,1.0
700,33.85,26.05,1.0
701,33.05,26.5,1.0
702,33.65,27.0,1.0
703,34.1,27.35,1.0
704,34.2,27.95,1.0
705,34.65,26.85,1.0
706,35.25,26.0,1.0
707,35.7,26.15,1.0
708,34.4,25.6,1.0
709,21.3,20.8,4.0
710,20.15,20.9,4.0
711,19.2,21.35,4.0
712,19.1,21.85,4.0
713,18.45,22.8,4.0
714,18.75,22.95,4.0
715,19.4,23.0,4.0
716,19.55,22.25,4.0
717,19.8,21.85,4.0
718,20.5,21.85,4.0
719,21.45,21.45,4.0
720,21.7,21.9,4.0
721,21.4,22.3,4.0
722,21.0,22.6,4.0
723,21.15,22.95,4.0
724,20.5,22.85,4.0
725,19.75,23.65,4.0
726,19.2,23.7,4.0
727,18.45,24.35,4.0
728,20.65,23.85,4.0
729,20.65,24.3,4.0
730,19.7,24.6,4.0
731,20.15,25.05,4.0
732,22.15,25.1,4.0
733,21.6,24.65,4.0
734,21.7,23.8,4.0
735,21.9,23.65,4.0
736,22.55,23.5,4.0
737,22.55,24.3,4.0
738,23.3,24.45,4.0
739,24.25,24.35,4.0
740,23.8,25.25,4.0
741,23.4,23.8,4.0
742,22.9,23.2,4.0
743,22.3,22.8,4.0
744,22.2,22.4,4.0
745,23.1,21.7,4.0
746,22.85,21.9,4.0
747,22.65,21.1,4.0
748,23.15,22.6,4.0
749,24.1,21.9,4.0
750,24.7,22.2,4.0
751,24.3,22.6,4.0
752,24.15,23.3,4.0
753,23.9,23.45,4.0
754,5.2,2.15,0.0
755,6.35,1.95,0.0
756,6.75,2.3,0.0
757,5.9,2.4,0.0
758,5.4,2.7,0.0
759,4.85,2.9,0.0
760,4.85,3.35,0.0
761,5.15,3.45,0.0
762,5.7,3.45,0.0
763,6.2,3.0,0.0
764,6.2,3.2,0.0
765,7.65,2.15,0.0
766,7.2,2.75,0.0
767,6.75,3.2,0.0
768,6.75,3.55,0.0
769,6.65,3.8,0.0
770,5.8,4.0,0.0
771,4.95,4.05,0.0
772,5.1,4.35,0.0
773,5.7,4.45,0.0
774,5.45,4.85,0.0
775,6.7,4.8,0.0
776,6.55,5.05,0.0
777,7.2,4.9,0.0
778,6.2,4.25,0.0
779,7.1,4.3,0.0
780,7.85,4.5,0.0
781,7.6,4.15,0.0
782,7.25,3.55,0.0
783,7.8,3.35,0.0
784,8.05,2.75,0.0
785,8.5,3.25,0.0
786,8.1,3.55,0.0
787,8.15,4.0,0.0
